REMITOS,CANTIDAD
1000025057,136
1000025058,128
1000025059,4
1000025060,60
1000025061,4128
1000025062,276
1000025063,4632
1000025064,584
1000025065,49
1000025066,251
1000025067,104
1000025068,81
1000025069,44
1000025070,51
1000025071,66
1000025072,2170
1000025073,1008
1000025074,855
1000025075,1752
1000025076,302
1000025077,30
1000025078,1759
1000025079,516
1000025080,267
1000025081,284
1000025082,334
1000025083,315
1000025084,420
1000025085,991
1000025086,1040
1000025087,764
1000025088,830
1000025089,2
1000025090,1111
1000025091,1640
1000025092,697
1000025093,598
1000025094,20
1000025095,812
1000025096,114
1000025097,441
1000025098,116
1000025099,644
1000025100,922
1000025101,806
1000025102,630
1000025103,288
1000025104,437
1000025105,80
1000025106,39
1000025107,32
1000025108,92
1000025109,27
1000025110,136
1000025111,167
1000025112,7
1000025113,409
1000025114,35
1000025115,176
1000025116,159
1000025117,304
1000025118,277
1000025119,20
1000025120,7
1000025121,303
1000025122,290
1000025123,1884
1000025124,4
1000025125,12
1000025126,216
1000025127,131
1000025128,349
1000025129,335
1000025130,504
1000025131,179
1000025132,265
1000025133,30
1000025134,4
1000025135,318
1000025136,470
1000025137,260
1000025138,184
1000025139,96
1000025140,202
1000025141,122
1000025142,18
1000025143,64
1000025144,40
1000025145,37
1000025146,243
1000025147,95
1000025148,50
1000025149,64
1000025150,21
1000025151,70
1000025152,92
1000025153,165
1000025154,573
1000025155,3
1000025156,296
1000025157,1999
1000025158,51
1000025159,165
1000025160,97
1000025161,281
1000025162,76
1000025163,1128
1000025164,273
1000025165,128
1000025166,162
1000025167,244
1000025168,4
1000025169,405
1000025170,386
1000025171,121
1000025172,146
1000025173,88
1000025174,135
1000025175,175
1000025176,88
1000025177,102
1000025178,330
1000025179,494
1000025180,15
1000025181,380
1000025182,901
1000025183,110
1000025184,238
1000025185,319
1000025186,175
1000025187,129
1000025188,100
1000025189,37
1000025190,166
1000025191,135
1000025192,153
1000025193,928
1000025194,710
1000025195,200
1000025196,146
1000025197,160
1000025198,142
1000025199,200
1000025200,230
1000025201,367
1000025202,130
1000025203,257
1000025204,117
1000025205,190
1000025206,200
1000025207,95
1000025208,221
1000025209,254
1000025210,59
1000025211,38
1000025212,56
1000025213,6
1000025214,11
1000025215,193
1000025216,60
1000025217,4
1000025218,325
1000025219,52
1000025220,42
1000025221,16
1000025222,155
1000025223,177
1000025224,6
1000025225,156
1000025226,575
1000025227,144
1000025228,244
1000025229,565
1000025230,263
1000025231,411
1000025232,191
1000025233,339
1000025234,566
1000025235,166
1000025236,279
1000025237,86
1000025238,95
1000025239,186
1000025240,79
1000025241,86
1000025242,192
1000025243,32
1000025244,58
1000025245,120
1000025246,130
1000025247,41
1000025248,111
1000025249,142
1000025250,81
1000025251,158
1000025252,63
1000025253,490
1000025254,66
1000025255,121
1000025256,83
1000025257,202
1000025258,94
1000025259,91
1000025260,126
1000025261,35
1000025262,70
1000025263,6
1000025264,11
1000025265,46
1000025266,59
1000025267,160
1000025268,4
1000025269,30
1000025270,112
1000025271,90
1000025272,22
1000025273,62
1000025274,52
1000025275,13
1000025276,71
1000025277,60
1000025278,144
1000025279,38
1000025280,45
1000025281,30
1000025282,144
1000025283,30
1000025284,44
1000025285,25
1000025286,42
1000025287,45
1000025288,47
1000025289,52
1000025290,870
1000025291,1650
1000025292,360
1000025293,200
1000025294,201
1000025295,74
1000025296,117
1000025297,114
1000025298,281
1000025299,153
1000025300,685
1000025301,1747
1000025302,1157
1000025303,154
1000025304,2196
1000025305,399
1000025306,287
1000025307,326
1000025308,454
1000025309,361
1000025310,326
1000025311,24
1000025312,1314
1000025313,339
1000025314,231
1000025315,90
1000025316,145
1000025317,29
1000025318,90
1000025319,168
1000025320,75
1000025321,76
1000025322,102
1000025323,152
1000025324,386
1000025325,860
1000025326,398
1000025327,4
1000025328,104
1000025329,136
1000025330,62
1000025331,93
1000025332,60
1000025333,90
1000025334,35
1000025335,48
1000025337,25
1000025338,4392
1000025339,950
1000025340,110
1000025341,170
1000025342,40
1000025343,59
1000025344,40
1000025345,34
1000025346,21
