remito,remitoOriginal,cantidad
1000024521,0001000024521,84
1000024522,0001000024522,23
1000024523,0001000024523,18
1000024524,0001000024524,17
1000024525,0001000024525,22
1000024526,0001000024526,342
1000024527,0001000024527,76
1000024528,0001000024528,1023
1000024529,0001000024529,902
1000024530,0001000024530,826
1000024531,0001000024531,1
1000024532,0001000024532,509
1000024533,0001000024533,194
1000024534,0001000024534,129
1000024535,0001000024535,32
1000024536,0001000024536,2474
1000024537,0001000024537,14
1000024538,0001000024538,177
1000024539,0001000024539,204
1000024540,0001000024540,29
1000024541,0001000024541,30
1000024542,0001000024542,67
1000024543,0001000024543,102
1000024544,0001000024544,119
1000024545,0001000024545,44
1000024546,0001000024546,90
1000024547,0001000024547,2639
1000024548,0001000024548,942
1000024549,0001000024549,23
1000024550,0001000024550,750
1000024551,0001000024551,328
1000024552,0001000024552,83
1000024553,0001000024553,114
1000024554,0001000024554,59
1000024555,0001000024555,69
1000024556,0001000024556,3
1000024557,0001000024557,14
1000024558,0001000024558,30
1000024559,0001000024559,9
1000024560,0001000024560,144
1000024561,0001000024561,1121
1000024562,0001000024562,102
1000024563,0001000024563,83
1000024564,0001000024564,16
1000024565,0001000024565,3
1000024566,0001000024566,50
1000024567,0001000024567,54
1000024568,0001000024568,96
1000024569,0001000024569,215
1000024570,0001000024570,5
1000024571,0001000024571,35
1000024572,0001000024572,126
1000024573,0001000024573,84
1000024574,0001000024574,120
1000024575,0001000024575,118
1000024576,0001000024576,40
1000024577,0001000024577,144
1000024578,0001000024578,3
1000024579,0001000024579,4
1000024580,0001000024580,16
1000024581,0001000024581,3
1000024582,0001000024582,1712
1000024583,0001000024583,301
1000024584,0001000024584,566
1000024585,0001000024585,136
1000024586,0001000024586,205
1000024587,0001000024587,39
1000024588,0001000024588,287
1000024589,0001000024589,45
1000024590,0001000024590,150
1000024591,0001000024591,30
1000024592,0001000024592,7
1000024593,0001000024593,97
1000024594,0001000024594,40
1000024595,0001000024595,10
1000024596,0001000024596,6
1000024597,0001000024597,55
1000024598,0001000024598,8
1000024599,0001000024599,748
1000024600,0001000024600,174
1000024601,0001000024601,10
1000024602,0001000024602,330
1000024603,0001000024603,21
1000024604,0001000024604,3
1000024605,0001000024605,551
1000024606,0001000024606,144
1000024607,0001000024607,63
1000024608,0001000024608,495
1000024609,0001000024609,127
1000024610,0001000024610,50
1000024611,0001000024611,160
1000024612,0001000024612,18
1000024613,0001000024613,1089
1000024614,0001000024614,668
1000024615,0001000024615,474
1000024616,0001000024616,232
1000024617,0001000024617,88
1000024618,0001000024618,25
1000024619,0001000024619,433
1000024620,0001000024620,503
1000024621,0001000024621,52
1000024623,0001000024623,142
1000024624,0001000024624,57
1000024625,0001000024625,20
1000024626,0001000024626,77
1000024627,0001000024627,35
1000024628,0001000024628,61
1000024629,0001000024629,20
1000024630,0001000024630,491
1000024631,0001000024631,64
1000024633,0001000024633,72
1000024634,0001000024634,60
1000024635,0001000024635,1160
1000024636,0001000024636,41
1000024637,0001000024637,30
1000024638,0001000024638,41
1000024639,0001000024639,31
1000024640,0001000024640,228
1000024641,0001000024641,30
1000024642,0001000024642,115
1000024643,0001000024643,204
1000024644,0001000024644,161
1000024645,0001000024645,100
1000024646,0001000024646,80
1000024647,0001000024647,65
1000024648,0001000024648,35
1000024649,0001000024649,100
1000024650,0001000024650,20
1000024651,0001000024651,21
1000024652,0001000024652,50
1000024653,0001000024653,38
1000024654,0001000024654,813
1000024656,0001000024656,197
1000024657,0001000024657,125
1000024658,0001000024658,172
1000024659,0001000024659,73
1000024660,0001000024660,99
1000024661,0001000024661,84
1000024662,0001000024662,60
1000024663,0001000024663,53
1000024664,0001000024664,217
1000024665,0001000024665,60
1000024666,0001000024666,191
1000024667,0001000024667,37
1000024668,0001000024668,43
1000024669,0001000024669,124
1000024670,0001000024670,45
1000024671,0001000024671,93
1000024672,0001000024672,97
1000024673,0001000024673,78
1000024674,0001000024674,104
1000024675,0001000024675,303
1000024676,0001000024676,53
1000024677,0001000024677,240
1000024678,0001000024678,181
1000024679,0001000024679,33
1000024680,0001000024680,124
1000024681,0001000024681,268
1000024682,0001000024682,39
1000024683,0001000024683,26
1000024684,0001000024684,177
1000024685,0001000024685,273
1000024686,0001000024686,274
1000024687,0001000024687,104
1000024688,0001000024688,192
1000024689,0001000024689,29
1000024690,0001000024690,294
1000024691,0001000024691,140
1000024692,0001000024692,44
1000024693,0001000024693,10
1000024694,0001000024694,74
1000024695,0001000024695,454
1000024696,0001000024696,87
1000024697,0001000024697,26
1000024698,0001000024698,128
1000024699,0001000024699,270
1000024700,0001000024700,3
1000024701,0001000024701,41
1000024702,0001000024702,3
1000024703,0001000024703,61
1000024704,0001000024704,33
1000024705,0001000024705,38
1000024706,0001000024706,195
1000024707,0001000024707,194
1000024708,0001000024708,119
1000024709,0001000024709,203
1000024710,0001000024710,266
1000024711,0001000024711,41
1000024712,0001000024712,183
1000024713,0001000024713,292
1000024714,0001000024714,176
1000024715,0001000024715,104
1000024716,0001000024716,55
1000024717,0001000024717,52
1000024718,0001000024718,2
1000024719,0001000024719,40
1000024720,0001000024720,8
1000024721,0001000024721,41
1000024722,0001000024722,310
1000024723,0001000024723,514
1000024724,0001000024724,550
1000024725,0001000024725,109
1000024726,0001000024726,233
1000024727,0001000024727,418
1000024728,0001000024728,184
1000024729,0001000024729,310
1000024730,0001000024730,5
1000024731,0001000024731,626
1000024732,0001000024732,111
1000024733,0001000024733,189
1000024734,0001000024734,186
1000024735,0001000024735,78
1000024736,0001000024736,55
1000024737,0001000024737,53
1000024738,0001000024738,189
1000024739,0001000024739,48
1000024740,0001000024740,148
1000024741,0001000024741,24
1000024742,0001000024742,686
1000024743,0001000024743,293
1000024744,0001000024744,998
1000024745,0001000024745,178
1000024746,0001000024746,323
1000024747,0001000024747,10
1000024748,0001000024748,4
1000024749,0001000024749,198
1000024750,0001000024750,94
1000024751,0001000024751,332
1000024752,0001000024752,188
1000024753,0001000024753,134
1000024754,0001000024754,711
1000024755,0001000024755,103
1000024756,0001000024756,267
1000024757,0001000024757,104
1000024758,0001000024758,20
1000024759,0001000024759,67
1000024760,0001000024760,145
1000024761,0001000024761,168
1000024762,0001000024762,86
1000024763,0001000024763,52
1000024764,0001000024764,66
1000024765,0001000024765,35
1000024766,0001000024766,274
1000024767,0001000024767,278
1000024768,0001000024768,726
1000024769,0001000024769,165
1000024770,0001000024770,262
1000024771,0001000024771,297
1000024772,0001000024772,829
1000024773,0001000024773,166
1000024774,0001000024774,366
1000024776,0001000024776,162
1000024777,0001000024777,507
1000024778,0001000024778,27
